COMPRESSOR007,2021-04-06,Valve Failure,32,3800,Valve Assembly,Material Fatigue,
COMPRESSOR007,2022-08-17,Piston Failure,48,5200,Piston Assembly,Lubrication Failure,
COMPRESSOR007,2023-01-05,Pressure Relief Failure,16,1500,Relief Valve,Excessive Pressure,
COMPRESSOR015,2021-09-23,Oil System Failure,24,2200,Oil Pump,Contamination,
COMPRESSOR015,2022-06-20,Bearing Failure,40,4500,Main Bearings,Mechanical Stress,
GENERATOR008,2021-07-20,Voltage Regulator Failure,18,2200,Voltage Regulator,Electronic Component Failure,
GENERATOR008,2022-02-10,Winding Insulation Failure,72,9500,Stator Windings,Overheating,
GENERATOR016,2021-11-12,Bearing Failure,36,3800,Bearing Assembly,Vibration Damage,
GENERATOR016,2022-08-17,Exciter Failure,48,5600,Exciter Module,Electrical Fault,
BOILER009,2021-08-04,Tube Leak,60,7200,Boiler Tubes,Corrosion,
BOILER009,2022-11-22,Burner Failure,24,2800,Burner Assembly,Fuel Contamination,
BOILER017,2021-06-20,Pressure Relief Valve Failure,16,1200,Relief Valve,Spring Fatigue,
BOILER017,2022-11-06,Control System Failure,32,3600,Control Module,Sensor Failure 
